页面定位的解释,页面的定位元素
购物车中查看商品详情,"/html/body/div[3]/div/div[2]/div/div/div[3]/div[2]/ul/li[1]/div[1]/div[2]/a/div[2]"
去购物车结算按钮,"/html/body/div[3]/div[2]/a[2]"
全选框,"/html/body/div[3]/div/div[2]/div/div/div[1]/ul/li[1]/label"
去结算按钮,"/html/body/div[3]/div/div[2]/div/div/div[last()]/a"
收货人信息默认文本,"/html/body/div[3]/div[2]/ul/div"
新增收获人地址,"/html/body/div[3]/div[2]/div[1]/button"
收货人,"//*[@id='add_address']/div[1]/div[1]/div[1]/input"
手机号,"//*[@id='add_address']/div[1]/div[1]/div[2]/input"
收货地址省,"//*[@id='distpicker1']/div[1]/select"
收货地址市,"//*[@id='distpicker1']/div[2]/select"
收货地址区,"//*[@id='distpicker1']/div[3]/select"
详细地址,"//*[@id='add_address']/div[1]/div[3]/textarea"
详细地址提示信息,"//*[@id='add_address']/div[1]/div[3]/small"
检查框,"//*[@id='add_address']/div[2]/div[1]/label/input"
商品的总价格,"/html/body/div[3]/div[4]/p[1]"
运费,"/html/body/div[3]/div[4]/p[2]"
应付的总金额,"/html/body/div[3]/div[5]/p[1]/span"
提交订单,"//button[@class='submit_btn']"
弹窗的提示信息,"//*[@id='layui-layer5']/div[2]"
弹窗的按钮,"//*[@id='layui-layer4']/div[3]/a"
保存按钮,"//*[@id='address_btn']"
选择一个地址,"/html/body/div[3]/div[2]/ul/li/label/input"
选择支付方式(余额支付),"/html/body/div/div/div/div[3]/div/div[2]/div/div[1]"
输入4位数短信验证码,"/html/body/div/div/div/div[4]/div/div[1]/div[2]/input"
发送验证码,"/html/body/div[1]/div/div/div[4]/div/div[1]/div[3]/button"
立即支付按钮,"/html/body/div[1]/div/div/div[4]/div/div[2]/div/button"
删除收货人地址按钮,"/html/body/div[3]/div[2]/ul/li[1]/div/a[3]"
设为默认地址按钮,"/html/body/div[3]/div[2]/ul/li[1]/div/a[1]/input"
弹窗的确定按钮,"/html/body/div[10]/div[3]/a[1]"
弹窗的取消按钮,"//*[@id='layui-layer1']/div[3]/a[2]"
更多地址按钮,"/html/body/div[3]/div[2]/button"
地址的列表,"/html/body/div[3]/div[2]/ul"
收货人信息选中框,"/html/body/div[3]/div[2]/ul/li[{}]/label/input"
,
====================================================登录后台==============================================================,
,
用户名,"//*[@id='username']"
密码,"//*[@id='password']"
验证码,"//*[@id='tel_code']"
登陆按钮,"//*[@id='submitbtn']"
系统按钮,"//*[@id='topbar-collapse']/ul/li[14]/a"
系统日志按钮,"/html/body/div/div[1]/div/section[14]/dl[2]/dt"
短信日志按钮,"/html/body/div/div[1]/div/section[14]/dl[2]/dd/div/a[3]"
短信内容,"/html/body/div/div[2]/div/div[2]/div/div/div[2]/div[2]/table/tbody/tr[1]/td[4]"
用户按钮,"/html/body/header/div[2]/ul/li[15]/a"
退出按钮,"/html/body/header/div[2]/ul/li[15]/ul/li[3]/a"
